"fourth_conj_not_dep_presentStem"	""
"266"	"insulio"	"come/leap upon/in; leap/spring up/at; attack/throw oneself upon; bound; mount;"
"267"	"intersaepio"	"separate; block;"
"268"	"intervenio"	"come between, intervene; occur, crop up;"
"269"	"invenio"	"come upon; discover, find; invent, contrive; reach, manage to get;"
"270"	"investio"	"clothe; cover;"
"271"	"irretio"	"entangle; catch in a net;"
"272"	"irrugio"	"cry loudly;"
"273"	"largio"	"give bountifully; lavish;"
"274"	"lascivio"	"frisk; sport; run riot;"
"275"	"lenio"	"mitigate, moderate; alleviate, allay, assuage, ease, calm, placate, appease;"
"276"	"lenio"	"|mollify; explain away, gloss over; beguile, pass pleasantly; abate;"
"277"	"ligurio"	"lick, lick up;"
"278"	"ligurrio"	"lick, lick up;"
"279"	"linio"	"smear, plaster (with); seal (wine jar); erase/rub over; befoul; cover/overlay;"
"280"	"lippio"	"have sore eyes, be bleary-eyed;"
"281"	"lupio"	"cry, utter the natural cry of the kite;"
"282"	"minurrio"	"chirp, twitter; (of birds);"
"283"	"mollio"	"soften, mitigate, make easier; civilize, tame, enfeeble;"
"284"	"mugio"	"low, bellow; make a loud deep noise;"
"285"	"munio"	"fortify; strengthen; protect, defend, safeguard; build (road);"
"286"	"muttio"	"mutter, murmur;"
"287"	"nescio"	"not know (how); be ignorant/unfamiliar/unaware/unacquainted/unable/unwilling;"
"288"	"nutrio"	"suckle. breast feed; nourish/feed/fuel, supply, build up; preserve, look after;"
"289"	"nutrio"	"|rear/raise; foster/encourage; tend/treat (wound/sick person); deal gently with;"
"290"	"obaudio"	"obey, listen to;"
"291"	"obdormio"	"fall asleep;"
"292"	"obedio"	"obey; listen/harken/submit (to); be subject/obedient/responsible/a slave (to);"
"293"	"oboedio"	"obey; listen/harken/submit (to); be subject/obedient/responsible/a slave (to);"
"294"	"obretio"	"catch in a net;"
"295"	"obsaepio"	"enclose, seal up; block, obstruct;"
"296"	"obvenio"	"meet;"
"297"	"odio"	"hate; dislike; be disinclined/reluctant/adverse to; (usu. PREFDEF);"
"298"	"ogganio"	"growl at;"
"299"	"oggannio"	"yelp; snarl, growl;"
"300"	"operio"	"cover (over); bury; overspread; shut/close; conceal; clothe, cover/hide the head"
"301"	"pario"	"bear; give birth to; beget, bring forth; produce, lay (eggs); create; acquire;"
"302"	"partio"	"share, divide up, distribute;"
"303"	"parturio"	"be in labor; bring forth; produce; be pregnant with/ready to give birth;"
"304"	"pavio"	"beat, strike; push down;"
"305"	"percio"	"excite, stir up, move (emotions); set in motion, propel;"
"306"	"perfinio"	"complete;"
"307"	"perfodio"	"bore/dig/make hole/passage/channel/break in/through; dig/pierce/stab/perforate;"
"308"	"permunio"	"fortify thoroughly, make very secure; finish constructing fortifications;"
"309"	"perpolio"	"polish thoroughly; put the finishing touches to;"
"310"	"pervenio"	"come to; reach; arrive;"
"311"	"petiturio"	"desire to stand for election;"
"312"	"poenio"	"punish (person/offense), inflict punishment; avenge, extract retribution;"
"313"	"polio"	"smooth, polish; refine, give finish to;"
"314"	"praefinio"	"fix the range of; determine;"
"315"	"praefulcio"	"prop up; support; use as prop;"
"316"	"praegestio"	"be very eager;"
"317"	"praemunio"	"fortify, defend in advance; safeguard;"
"318"	"praepedio"	"shackle, fetter, tie by an extremity; hinder/obstruct/impede; entangle the feet;"
"319"	"praesaepio"	"block up/fence in front;"
"320"	"praesagio"	"have presentiment (of); portend;"
"321"	"praescio"	"foreknow; know in advance;"
"322"	"praesentio"	"feel or perceive beforehand; have a presentiment of;"
"323"	"praesepio"	"block up/fence in front;"
"324"	"praeservio"	"serve as slave;"
"325"	"praevenio"	"arrive/occur/come first/before/too soon; precede; surpass; anticipate/forestall;"
"326"	"presignio"	"ennoble; make famous;"
"327"	"prodio"	"go/come forth/out, advance; appear; sprout/spring up; issue/extend/project;"
"328"	"proscripturio"	"desire a proscription;"
"329"	"prosentio"	"see beforehand;"
"330"	"prosilio"	"jump/leap up/forward; rush/leap/spring forth/to; gush/break/jut out;"
"331"	"prosilio"	"jump/leap up/forward; rush/leap/spring forth/to; gush/break/jut out;"
"332"	"provenio"	"come forth; come into being; prosper;"
"333"	"prurio"	"itch, tingle (in anticipation); be sexually excited, have sexual craving;"
"334"	"punio"	"punish (person/offense), inflict punishment; avenge, extract retribution;"
"335"	"redimio"	"encircle with a garland, wreathe around; surround, encircle;"
"336"	"redormio"	"go back to sleep, fall asleep again;"
"337"	"refercio"	"fill up, stuff/cram full; pack close, condense, mass together;"
"338"	"referio"	"strike back; P:reflect;"
"339"	"remollio"	"resoften; make soft again; weaken;"
"340"	"remugio"	"bellow back, moo in reply; resound;"
"341"	"reperio"	"discover, learn; light on; find/obtain/get; find out/to be, get to know; invent;"
"342"	"repperio"	"discover, learn; light on; find/obtain/get; find out/to be, get to know; invent;"
"343"	"resaevio"	"rage again;"
"344"	"resarcio"	"restore, make good (loss); mend, repair (something damaged);"
"345"	"resarcio"	"restore, make good (loss); mend, repair (something damaged);"
"346"	"resilio"	"leap or spring back; recoil; rebound; shrink (back again);"
"347"	"revenio"	"come back, return;"
"348"	"revincio"	"bind fast, fasten;"
"349"	"rugio"	"bellow, roar;"
"350"	"saepio"	"surround/envelop/enfold/encircle; clothe/cover/protect; close/seal off; shut in;"
"351"	"saepio"	"|hedge/fence in, surround (w/hedge/wall/fence/barrier/troops); enclose; confine;"
"352"	"saevio"	"rage; rave, bluster; be/act angry/violent/ferocious; vent rage on (DAT);"
"353"	"salio"	"salt, salt down, preserve with salt; sprinkle before sacrifice;"
"354"	"salio"	"leap, jump; move suddenly/spasmodically (part of body under stress), twitch;"
"355"	"salio"	"|spurt, discharge, be ejected under force (water/fluid); mount/cover (by stud);"
"356"	"salio"	"leap, jump; move suddenly/spasmodically (part of body under stress), twitch;"
"357"	"salio"	"|spurt, discharge, be ejected under force (water/fluid); mount/cover (by stud);"
"358"	"sallio"	"salt, salt down, preserve with salt; sprinkle before sacrifice;"
"359"	"sancio"	"confirm, ratify; sanction; fulfill (prophesy); enact (law); ordain; dedicate;"
"360"	"sarcio"	"make good; redeem; restore;"
"361"	"sario"	"hoe; weed (crops); dig over (land);"
"362"	"sarrio"	"hoe; weed (crops); dig over (land); rake (L+S);"
"363"	"sarrio"	"hoe; weed (crops); dig over (land);"
"364"	"scaturrio"	"gush, bubble over;"
"365"	"scio"	"know, understand;"
"366"	"sentio"	"perceive, feel, experience; think, realize, see, understand;"
"367"	"sepelio"	"bury/inter; (Romans cremate + inter ashes); submerge, overcome; suppress; ruin;"
"368"	"sepio"	"surround/envelop/enfold/encircle; clothe/cover/protect; close/seal off; shut in;"
"369"	"sepio"	"|hedge/fence in, surround (w/hedge/wall/fence/barrier/troops); enclose; confine;"
"370"	"sepio"	"surround/envelop/enfold/encircle; clothe/cover/protect; close/seal off; shut in;"
"371"	"sepio"	"|hedge/fence in, surround (w/hedge/wall/fence/barrier/troops); enclose; confine;"
"372"	"servio"	"serve; be a slave to; with DAT;"
"373"	"singultio"	"hiccup; sob; cluck; (see also singulto);"
"374"	"sitio"	"be thirsty;"
"375"	"sopio"	"cause to sleep, render insensible by a blow or sudden shock;"
"376"	"stabilio"	"make firm, establish;"
"377"	"subaudio"	"understand, supply a word; hear a little;"
"378"	"subblandio"	"flirt; caress a little;"
"379"	"subsentio"	"smell/sniff out; perceive secretly;"
"380"	"subsilio"	"jump/leap/spring up; plunge beneath;"
"381"	"subvenio"	"come to help, assist; rescue;"
"382"	"suffio"	"fumigate; perfume, scent;"
"383"	"suffulcio"	"underprop, keep from falling;"
"384"	"sullaturio"	"be like Sulla; imitate Sulla;"
"385"	"summonio"	"summon;"
"386"	"superbio"	"show pride or disdain on account (of); be proud/haughty; be splendid;"
"387"	"superbio"	"show/have (too much) pride/disdain (to); be proud/gorgeous/superb/magnificent;"
"388"	"supervenio"	"come up, arrive;"
"389"	"tinnio"	"ring/clang/jangle (metal); ring (ears); utter a shrill/metallic sound;"
"390"	"transilio"	"jump across, leap over;"
"391"	"transvenio"	"come; come from another place or person;"
"392"	"tussio"	"cough; suffer from a cough; have coughing fit;"
"393"	"unio"	"unite, combine into one;"
"394"	"vagio"	"utter cries of distress, wail, squall;"
"395"	"venio"	"come;"
"396"	"vestio"	"clothe;"
"397"	"vincio"	"bind, fetter; restrain;"
