"second_conj_not_dep_presentStem"	"second_conj_not_dep___meaning"
"354"	"moereo"	"grieve, be sad, mourn; bewail/mourn for/lament; utter mournfully;"
"355"	"moneo"	"remind, advise, warn; teach; admonish; foretell, presage;"
"356"	"mordeo"	"bite; sting; hurt, pain; vex; criticize, carp at; eat, consume; bite/cut into;"
"357"	"moveo"	"move, stir, agitate, affect, provoke, disturb;  [movere se => dance];"
"358"	"mulceo"	"stroke, touch lightly, fondle, soothe, appease, charm, flatter, delight;"
"359"	"mulgeo"	"milk (an animal); extract (milk);"
"360"	"mulgeo"	"milk (an animal); extract (milk);"
"361"	"neo"	"spin; weave; produce by spinning;"
"362"	"nigreo"	"grow dark; darken;"
"363"	"niteo"	"shine, glitter, look bright; be sleek/in good condition; bloom, thrive;"
"364"	"noceo"	"harm, hurt; injure (with DAT);"
"365"	"noteo"	"notify;"
"366"	"objaceo"	"lie near by/at hand/opposite; lie in/block the way; lie exposed/at the mercy o;"
"367"	"oboleo"	"stink, smell of; present an odor, give forth a smell, betray oneself w/smell;"
"368"	"obsideo"	"blockade, besiege, invest, beset; take possession of;"
"369"	"obsorbeo"	"swallow; gulp down;"
"370"	"obticeo"	"be silent;"
"371"	"obtineo"	"get hold of; maintain; obtain; hold fast, occupy; prevail;"
