"third_conj_not_dep_presentStem"	"third_conj_not_dep___meaning"
"1527"	"incudo"	"hammer out;"
"1528"	"incumbo"	"lean forward/over/on, press on; attack, apply force; fall on (one's sword);"
"1529"	"incurro"	"run into or towards, attack, invade; meet (with); befall;"
"1530"	"incurro"	"run into or towards, attack, invade; meet (with); befall;"
"1531"	"incurvesco"	"bend down;"
"1532"	"incutio"	"strike on or against; instill;"
"1533"	"indico"	"declare publicly; proclaim, announce; appoint; summon;"
"1534"	"indo"	"put in or on; introduce;"
"1535"	"indolesco"	"feel pain of mind; grieve;"
"1536"	"induco"	"lead in, bring in (performers); induce, influence; introduce;"
"1537"	"induo"	"put on, clothe, cover; dress oneself in; [se induere => to impale oneself];"
"1538"	"induresco"	"harden, set, become hard/tough/robust; become firmly established/inflexible;"
"1539"	"infervefacio"	"cause to boil;"
"1540"	"infervesco"	"grow hot;"
"1541"	"inficio"	"corrupt, infect, imbue; poison; dye, stain, color, spoil;"
"1542"	"infigo"	"fasten (on), fix, implant, affix; impose; drive/thrust in;"
"1543"	"infindo"	"cleave; plow a path into;"
"1544"	"inflecto"	"bend; curve; change;"
"1545"	"infligo"	"knock or dash (against); inflict, impose;"
"1546"	"influo"	"flow into; flow;"
"1547"	"infodio"	"bury, inter;"
"1548"	"infremo"	"bellow, roar;"
"1549"	"infrendo"	"gnash the teeth (usually in anger);"
"1550"	"infringo"	"break, break off; lessen, weaken, diminish, dishearten; overcome, crush;"
"1551"	"infundo"	"pour in, pour on, pour out;"
"1552"	"ingemesco"	"groan/moan (begin to) at/over; cry w/pain/anguish/sorrow; creak/groan (object);"
"1553"	"ingemisco"	"groan/moan (begin to) at/over; cry w/pain/anguish/sorrow; creak/groan (object);"
"1554"	"ingemo"	"groan/moan/sigh (at/over); utter cry of pain/anguish; creak/groan (objects);"
"1555"	"ingeno"	"engender; instill by birth;"
"1556"	"ingero"	"carry in, throw in; heap; force/thrust/throw upon;"
"1557"	"ingigno"	"engender; instill by birth;"
"1558"	"ingravesco"	"grow heavy; increase in force or intensity;"
"1559"	"ingruo"	"advance threateningly; make an onslaught on; break in, come violently, force;"
"1560"	"inhaeresco"	"begin to adhere, become attached/embedded/glued together; become stuck/fixed;"
"1561"	"inhorresco"	"bristle up; quiver, tremble, shudder at;"
"1562"	"inicio"	"hurl/throw/strike in/into; inject; put on; inspire, instill (feeling, etc);"
"1563"	"injicio"	"hurl/throw/strike in/into; inject; put on; inspire, instill (feeling, etc);"
"1564"	"injungo"	"enjoin, charge, bring/impose upon; unite; join/fasten/attach (to);"
"1565"	"inlido"	"strike/beat/dash/push against/on; injure by crushing; drive (teeth into);"
"1566"	"inlino"	"smear over; anoint;"
"1567"	"inmitto"	"send in/to/into/against; cause to go; insert; hurl/throw in; let go/in; allow;"
"1568"	"innecto"	"tie, fasten (to); devise, weave (plots);"
"1569"	"innotesco"	"become known, be made conspicuous;"
"1570"	"innubo"	"marry (into a family);"
"1571"	"innuo"	"nod or beckon (to);"
"1572"	"inolesco"	"grow in or on;"
"1573"	"inpello"	"drive/persuade/impel; urge on/action; push/thrust/strike against; overthrow;"
"1574"	"inpeto"	"attack, assail; rush upon (L+S); accuse;"
"1575"	"inpono"	"impose, put upon; establish; inflict; assign/place in command; set;"
"1576"	"inprimo"	"impress, imprint; press upon; stamp;"
"1577"	"inquiro"	"examine, investigate, scrutinize; seek grounds for accusation; search, seek;"
"1578"	"inraucesco"	"become hoarse;"
"1579"	"inrumpo"	"invade; break/burst/force/rush in/upon/into, penetrate; intrude on; interrupt;"
"1580"	"inruo"	"rush/dash/run in/upon/headlong, attack/charge; throw self on; enter eagerly in;"
"1581"	"inruo"	"intrude/encroach/invade, force way in; demolish (Souter); cause to collapse;"
"1582"	"inscendo"	"climb on, ascend, mount;"
"1583"	"inscribo"	"write on/in; inscribe, brand; record as; entitle;"
"1584"	"insculpo"	"carve (in or on), engrave; engrave on the mind;"
"1585"	"insenesco"	"grow old in; wane;"
"1586"	"insequo"	"tell; tell of; relate (L+S); declare; pursue the narration; tell me about it;"
"1587"	"insero"	"plant, sow; graft on; put in, insert;"
"1588"	"insido"	"sit/settle on; occupy/seize, hold (position); penetrate, sink in; merge into;"
"1589"	"insido"	"sit/settle on; occupy/seize, hold (position); penetrate, sink in; merge into;"
"1590"	"insillo"	"leap into or on;"
"1591"	"insipio"	"|act foolishly;"
"1592"	"insipio"	"throw in;"
"1593"	"insisto"	"stand/tread upon, stand, stop; press on, persevere (with); pursue, set about;"
"1594"	"insolesco"	"become overbearing; grow proud/haughty/insolent; change, become manly (L+S);"
"1595"	"insordesco"	"become gloomy;"
"1596"	"inspargo"	"sprinkle upon; (= inspergo);"
"1597"	"inspergo"	"sprinkle upon;"
"1598"	"inspicio"	"examine, inspect; consider, look into/at, observe;"
"1599"	"inspuo"	"spit upon;"
"1600"	"insterno"	"spread or strew on; cover (with); lay over;"
"1601"	"instituo"	"set up, establish, found, make, institute; build; prepare; decide;"
"1602"	"instrepo"	"make a loud noise;"
"1603"	"instruo"	"construct, build; prepare, draw up; fit out; instruct, teach;"
"1604"	"insuesco"	"become accustomed (to); accustom;"
"1605"	"insumo"	"spend, expend/employ (money/time/effort), devote; consume, take in/up; assume;"
"1606"	"insuo"	"sew up (in), sew (on or in);"
"1607"	"insurgo"	"rise up; rise up against;"
"1608"	"intabesco"	"pine away; melt away;"
"1609"	"intego"	"cover; cover over;"
"1610"	"integrasco"	"break out afresh;"
"1611"	"intellego"	"understand; realize;"
"1612"	"intelligo"	"understand; realize;"
"1613"	"intendo"	"hold out; stretch, strain, exert;"
"1614"	"intepesco"	"become warm;"
"1615"	"intercedo"	"intervene;  intercede, interrupt; hinder; veto; exist/come between;"
"1616"	"intercido"	"happen; perish; fall from memory, cease to exist;"
"1617"	"intercido"	"cut through, sever;"
"1618"	"intercino"	"sing between;"
"1619"	"intercipio"	"cut off; intercept, interrupt; steal;"
"1620"	"intercludo"	"cut off; blockade; hinder, block up;"
"1621"	"interdico"	"forbid, interdict, prohibit; debar (from);"
"1622"	"interemo"	"do away with; kill, cut off from life; extinguish; put an end to, destroy;"
"1623"	"interficio"	"kill; destroy;"
"1624"	"interfluo"	"flow between or through;"
"1625"	"intericio"	"put/throw between; interpose; insert; introduce;"
"1626"	"interimo"	"do away with; kill, cut off from life; extinguish; put an end to, destroy;"
"1627"	"interjacio"	"put/throw between; interpose; insert; introduce;"
"1628"	"interjicio"	"put/throw between; interpose; insert; introduce;"
"1629"	"interlino"	"smear between; erase fully;"
"1630"	"interludo"	"play between/together;"
"1631"	"interluo"	"flow between;"
"1632"	"intermico"	"glitter among; glitter forth;"
"1633"	"intermitto"	"interrupt;  omit; stop; leave off (temporarily); leave a gap;"
"1634"	"internosco"	"distinguish between; pick out;"
"1635"	"interpono"	"insert, introduce; admit;  allege; interpose; (interponere se = to intervene);"
"1636"	"interquiesco"	"rest awhile;"
"1637"	"interrado"	"decorate with intaglio/incised carvings/engraving; embossed (L+S); scraped;"
"1638"	"interrumpo"	"drive a gap in, break up; cut short, interrupt;"
"1639"	"interscindo"	"cut down; cut through, sever;"
"1640"	"interseco"	"cut apart; divide;"
"1641"	"intersero"	"sow; plant;"
"1642"	"interstinguo"	"separate; extinguish; kill;"
"1643"	"interverto"	"embezzle, cheat; turn upside down/inside out; reverse, invert, overturn, upset;"
"1644"	"interviso"	"look at, visit;"
"1645"	"intexo"	"weave (into), embroider (on); cover by twining; insert (into a book, etc);"
"1646"	"intingo"	"dip/plunge in; saturate, steep; cause to soak in; color (w/cosmetics);"
"1647"	"intinguo"	"dip/plunge in; saturate, steep; cause to soak in; color (w/cosmetics);"
"1648"	"intremisco"	"begin to tremble;"
"1649"	"intremo"	"tremble, quake;"
"1650"	"introcedo"	"enter;"
"1651"	"introduco"	"introduce, bring/lead in;"
"1652"	"intromitto"	"admit, let into, allow to come in; send/put in; introduce;"
"1653"	"introrumpo"	"break in;"
"1654"	"introspicio"	"examine; inspect; look upon;"
"1655"	"intumesco"	"swell up, become swollen; rise;"
"1656"	"inungo"	"anoint (with); cover (food w/dressing); rub in (medicaments);"
"1657"	"inunguo"	"anoint (with); cover (food w/dressing); rub in (medicaments);"
"1658"	"inuro"	"burn, scorch; burn (off/away/hole); cauterize; curl (hair w/hot tongs); tinge;"
"1659"	"inuro"	"|burn in (w/hot iron), make imprint by burning; brand/impress (on/with); stamp;"
"1660"	"inuro"	"||impress indelibly; impose unalterably; paint by encaustic method;"
"1661"	"invado"	"enter, attempt; invade; take possession of; attack (with in +acc.);"
"1662"	"invalesco"	"strengthen, grow strong; increase in power/effectiveness/intensity/frequency;"
"1663"	"inveho"	"carry/bring in, import; ride (PASS), drive, sail, attack;"
"1664"	"invergo"	"tip/pour (liquids) upon; incline;"
"1665"	"inverto"	"turn upside down; pervert; change;"
"1666"	"inveterasco"	"grow old; become established/customary;"
"1667"	"inviso"	"go to see, visit; watch over;"
"1668"	"involvo"	"wrap (in), cover, envelop; roll along;"
"1669"	"invorto"	"turn upside down; pervert; change;"
"1670"	"irrepo"	"creep in or into; steal into; insinuate oneself (into);"
"1671"	"irrumpo"	"invade; break/burst/force/rush in/upon/into, penetrate; intrude on; interrupt;"
"1672"	"irruo"	"rush into; invade;"
"1673"	"irruo"	"rush/dash/run in/upon/headlong, attack/charge; throw self on; intrude/encroach;"
"1674"	"irruo"	"intrude/encroach/invade, force way in; demolish (Souter); cause to collapse;"
"1675"	"jacio"	"throw, hurl, cast; throw away; utter;"
"1676"	"jungo"	"join, unite; bring together, clasp (hands); connect, yoke, harness;"
"1677"	"juvenesco"	"grow up; grow young again, regain youth;"
"1678"	"labasco"	"fall to pieces, break up; waver; yield;"
"1679"	"labefacio"	"make unsteady/totter; loosen, shake; subvert (power/authority); weaken resolve;"
"1680"	"lacesso"	"provoke, excite, harass, challenge, harass; attack, assail;"
"1681"	"lactesco"	"become milky;"
"1682"	"laedo"	"strike; hurt, injure, wound; offend, annoy;"
"1683"	"lambo"	"lick; lap/lick/suck up, absorb; wash/bathe; surround; fondle/caress (L+S); fawn;"
"1684"	"lambo"	"lick; lap/lick/suck up, absorb; wash/bathe; surround; fondle/caress (L+S); fawn;"
"1685"	"languefacio"	"make languid/inactive/weak/faint;"
"1686"	"languesco"	"become faint or languid or weak, wilt;"
"1687"	"lapidesco"	"become stone; petrify;"
"1688"	"latesco"	"become broad (long-a);"
"1689"	"latesco"	"hide oneself (short-a);"
"1690"	"lego"	"read; gather, collect (cremated bones); furl (sail), weigh (anchor); pick out;"
"1691"	"lentesco"	"become sticky; relax;"
"1692"	"lingo"	"lick; lick up (L+S);"
"1693"	"lino"	"smear, plaster (with); seal (wine jar); erase/rub over; befoul; cover/overlay;"
"1694"	"linquo"	"leave, quit, forsake; abandon, desist from; allow to remain in place; bequeath;"
"1695"	"liquefacio"	"melt, dissolve; liquefy; make (melody) clear and sweet (liquid);"
"1696"	"liquesco"	"become liquid/fluid, melt, liquefy; decompose, putrefy; grow soft/effeminate;"
"1697"	"livesco"	"become livid; become black and blue; become envious;"
"1698"	"lucesco"	"begin to shine; grow light (of the day), dawn; (usu. IMPERS);"
"1699"	"lucesct"	"it grows light, it is getting light, dawn is coming/breaking, day is breaking;"
"1700"	"lucisco"	"begin to shine; grow light (of the day), dawn; (usu. IMPERS);"
"1701"	"lucisct"	"it grows light, it is getting light, dawn is coming/breaking, day is breaking;"
"1702"	"lucrifacio"	"gain, receive as profit;"
"1703"	"lucrifio"	"gain; receive as profit; (passive form of lucrifacio);"
"1704"	"ludo"	"play, mock, tease, trick;"
"1705"	"luo"	"wash, lave; cleanse, purge (L+S);"
"1706"	"luo"	"pay; pay fine, compensate/atone; [poenam ~ => suffer punishment as expiation];"
"1707"	"luo"	"|atone, make amends for, expiate; compensate; liberate/set free; redeem (debt);"
"1708"	"luo"	"||fulfill (promise), make good; discharge (debt); avert (trouble) by expiation;"
"1709"	"lutesco"	"become muddy;"
"1710"	"macesco"	"become thin, grow lean, become meager/poor; wither/shrivel (of fruit);"
"1711"	"macresco"	"become thin, waste away;"
"1712"	"madefacio"	"wet/moisten, make wet/moist/drunk; soak/drench/steep; intoxicate/soak (w/drink);"
"1713"	"madesco"	"become wet/moist;"
"1714"	"maledico"	"speak ill/evil of, revile, slander; abuse, curse;"
"1715"	"malefacio"	"do evil/wrong/harm/injury/mischief; act wickedly;"
"1716"	"maleficio"	"practice sorcery/black magic;"
"1717"	"mando"	"chew, champ, masticate, gnaw; eat, devour; lay waste;"
"1718"	"mansuefacio"	"tame; civilize; make peaceful/quiet/docile;"
"1719"	"mansuesco"	"tame; become/grow tame; render/become mild/gentle/less harsh/severe;"
"1720"	"manucapio"	"go bail(for); undertake;"
"1721"	"manumitto"	"release, free, set free/at liberty, emancipate;"
"1722"	"marcesco"	"wither, shrivel up; fade/pine away; become weak/enfeebled/languid/apathetic;"
"1723"	"marco"	"be withered/flabby, droop/shrivel; flag/faint; be weak/enfeebled/idle/apathetic;"
"1724"	"maturesco"	"become ripe, ripen mature;"
"1725"	"meio"	"urinate, make water; ejaculate; (somewhat rude);"
"1726"	"mergo"	"dip, plunge, immerse; sink, drown, bury; overwhelm;"
"1727"	"meto"	"reap; mow, cut off;"
"1728"	"metuo"	"fear; be afraid; stand in fear of; be apprehensive, dread;"
"1729"	"mingo"	"make water, urinate;"
"1730"	"mingo"	"make water, urinate;"
"1731"	"minuo"	"lessen, reduce, diminish, impair, abate;"
"1732"	"miseresco"	"have compassion (on/for) (w/GEN);"
"1733"	"misfacio"	"do wrong to; harm, injure, hurt;"
"1734"	"mitesco"	"become/be/grow mild/soft/gentle/mellow/tame/civilized; soften;"
"1735"	"mitto"	"send, throw, hurl, cast; let out, release, dismiss; disregard;"
"1736"	"mollesco"	"become soft; become gentle or effeminate;"
"1737"	"molo"	"grind;"
"1738"	"neclego"	"disregard, neglect, ignore, regard of no consequence; do nothing about; despise;"
"1739"	"necto"	"tie, bind;"
"1740"	"neglego"	"disregard, neglect, ignore, regard of no consequence; do nothing about; despise;"
"1741"	"negligo"	"disregard, neglect, ignore, regard of no consequence; do nothing about; despise;"
"1742"	"nexo"	"tie together; bind together; (see also nectere);"
"1743"	"nigresco"	"become black, grow dark;"
"1744"	"ningo"	"snow;"
"1745"	"ningt"	"it snows;"
"1746"	"ninguo"	"snow;"
"1747"	"nitesco"	"begin to shine;"
"1748"	"noctesco"	"grow dark;"
"1749"	"nosco"	"get to know; learn, find out; become cognizant of/acquainted/familiar with;"
"1750"	"nosco"	"|examine, study, inspect; try (case); recognize, accept as valid/true; recall;"
"1751"	"notesco"	"become known; become famous;"
"1752"	"nubo"	"marry, be married to;"
"1753"	"nuo"	"nod;"
"1754"	"nuo"	"nod;"
"1755"	"obdo"	"put before/against; shut, close, fasten;"
"1756"	"obdormisco"	"fall asleep; go to sleep; (w/reference to death);"
"1757"	"obduco"	"lead or draw before; cover/lay over; overspread; wrinkle; screen;"
"1758"	"obduresco"	"be persistent, endure;"
"1759"	"obfendo"	"offend, give offense (to); displease/annoy/vex; trouble/upset, hurt (feelings);"
"1760"	"obfendo"	"|strike/knock against; bump into; stumble upon; check, stop short; spoil/harm;"
"1761"	"obfendo"	"||come upon, meet, find, encounter, be faced with; run aground; violate/wrong;"
"1762"	"obfringo"	"break up (ground) by cross-plowing;"
"1763"	"obhaeresco"	"stick fast; adhere;"
"1764"	"obicio"	"throw before/to, cast; object, oppose; upbraid; throw in one's teeth; present;"
"1765"	"objicio"	"throw before/to, cast; object, oppose; upbraid; throw in one's teeth; present;"
"1766"	"oblanguesco"	"become feeble;"
"1767"	"oblido"	"crush;"
"1768"	"oblitesco"	"conceal oneself;"
"1769"	"obmutesco"	"lose one's speech, become silent;"
"1770"	"obnubo"	"veil, cover (the head);"
"1771"	"obrepo"	"creep up on/approach unawares/unobserved; sneak/drop in; pay surprise visit on;"
"1772"	"obrigesco"	"stiffen;"
"1773"	"obruo"	"cover up, hide, bury; overwhelm, ruin; crush;"
"1774"	"obsero"	"sow, plant; cover;"
"1775"	"obsido"	"besiege; occupy;"
"1776"	"obsisto"	"oppose, resist; stand in the way; make a stand against, withstand;"
"1777"	"obsolefacio"	"degrade/abase; lower worth/dignity of; make common; wear out (L+S); spoil/sully;"
"1778"	"obsolesco"	"fall into disuse, be forgotten about;"
"1779"	"obstipesco"	"be amazed;"
"1780"	"obstrepo"	"roar against; make a loud noise;"
"1781"	"obstringo"	"confine; involve; oblige, put under an obligation, bind, bind by oath;"
"1782"	"obstruo"	"block up, barricade;"
"1783"	"obstupefacio"	"strike dumb (w/powerful emotion)/stun/daze/paralyze; befuddle/stupefy (w/drink);"
"1784"	"obstupesco"	"be stupefied; be struck dumb; be astounded;"
"1785"	"obsuo"	"sew up;"
"1786"	"obsurdesco"	"become deaf; turn a deaf ear;"
