attempt	attack, assail; call into question; try to seduce/use; make an attempt on, try;
attent	attack, assail; call into question; try to seduce/use; make an attempt on, try;
attenu	thin (out); weaken, lessen, diminish, shrink, reduce in size; make plain;
attermin	set bounds to, measure, limit;
atticiss	imitate the Attic/Athenian (elegant) manner of speaking;
attill	tickle, please;
attitul	name, entitle;
attoler	support, sustain, bear;
atton	strike with lightning, blast; drive crazy, distract;
attorn	attorn; attribute; ordain, decree; turn to;
attract	touch; lay hands on; handle (roughly), assault (sexually), violate; deal with;
attrect	touch; lay hands on; handle (roughly), assault (sexually), violate; deal with;
attrepid	bestir oneself; hobble along;
attribul	thresh, press hard;
attumul	heap up against; bank up (with something);
auctific	enlarge, increase; honor by offerings/sacrifices;
auctit	keep increasing/augmenting; honor by offerings (L+S);
auct	increase/enlarge (much), grow; prosper/bless (with) (w/ABL);
auctoriz	authorize, authenticate; approve, confirm; bind one's self;
auctumn	bring autumnal conditions;
audit	hear frequently;
augific	increase, enlarge, make larger;
augment	increase;
august	glorify; render venerable;
aur	gild, overlay with gold;
auror	shine like the sunrise;
aurugin	have jaundice, be affected with jaundice;
auscult	listen (to); overhear, listen secretly; heed, obey;
authentic	verify, authenticate;
authoriz	authorize, authenticate; approve, confirm; bind one's self;
automatiz	automate;
autumn	bring autumnal conditions;
autum	say, assert; say yes; affirm; mention, speak of; name, call; reckon, judge;
averrunc	avert (something bad), ward off;
avoc	call/summon away; dissuade, divert, distract; remove, take away (property);
avol	fly/rush away/off; hasten away, flee, vanish; fly away (missile);
badiss	go, proceed; walk;
badiz	go, proceed; walk;
baijul	carry, bear (load);
bajul	carry, bear (load);
balit	bleat;
ball	dance;
bal	bleat, baa (like a sheep); talk foolishly;
baptiz	baptize; immerse;
barb	supply with a beard (or perhaps a nonsense word);
basi	kiss, give a kiss;
beatific	bless; make happy;
beb	bleat;
bel	bleat, baa (like a sheep); talk foolishly;
be	bless, make happy, gladden, delight; enrich (with);
betiss	be languid (soft as a beet);
betiz	be languid (soft as a beet);
bin	duplicate; binate (offer two masses in one day);
bitumin	cover/impregnate with bitumen/tar; tar;
blacter	bleat (of a ram/sheep);
blasphem	blaspheme (against God); revile; reproach;
blater	prate, babble; utter in a babbling way; (applied to sounds of certain animals);
blatter	prate, babble; utter in a babbling way; (applied to sounds of certain animals);
blatt	prate, babble; utter in a babbling way; (applied to sounds of certain animals);
boicotiz	boycott;
bombard	bombard;
bombil	buzz, hum;
bombit	buzz, hum;
bo	cry aloud, roar, bellow; call loudly upon;
boton	button;
bov	cry aloud, roar, bellow; call loudly upon;
braci	brew beer;
brevi	shorten, abridge; abbreviate (speech/writing); pronounce short;
bubin	menstruate, have monthly period (woman);
bubul	screech (like an owl);
buccin	give signal with/sound trumpet/horn; blow trumpet (bucina); honk horn (Cal);
bucin	give signal with/sound trumpet/horn; blow trumpet (bucina); honk (Cal);
bulim	have great/insatiable hunger;
