"","V1","V2"
"450","auctorizat","authorize, authenticate; approve, confirm; bind one's self;"
"451","auctorat","bind/pledge/oblige/engage oneself, hire oneself out; purchase (w/sibi), secure;"
"452","auctumnat","bring autumnal conditions;"
"453","aucupat","catch, take (swarm of bees); hunt after, seek, be on the lookout for;"
"454","auditat","hear frequently;"
"455","augmentat","increase;"
"456","augurat","prophesy, predict, foretell; practice augury; make known intention to (w/INF);"
"457","augustat","glorify; render venerable;"
"458","aurigat","drive/race a chariot;"
"459","aurat","gild, overlay with gold;"
"460","aurorat","shine like the sunrise;"
"461","auruginat","have jaundice, be affected with jaundice;"
"462","auscultat","listen (to); overhear, listen secretly; heed, obey;"
"463","auspicat","take auspices; seek omens; begin with auspices, make ceremonial start; portend;"
"464","authenticat","verify, authenticate;"
"465","authorizat","authorize, authenticate; approve, confirm; bind one's self;"
