"","x"
"124","#adlavo, adlavare, adlavavi, adlavatus  V (1st) TRANS                                                [XXXFO] :: flow up to (water), wash;"
"125","#adlecto, adlectare, adlectavi, adlectatus  V (1st) TRANS                                            [XXXDO] :: entice, allure, encourage, invite;"
"126","#adlego, adlegare, adlegavi, adlegatus  V (1st) TRANS                                                [XXXBO] :: depute/send as agent, commission, put up; suborn; urge/plea, lay before; allege;"
"127","#adlevio, adleviare, adleviavi, adleviatus  V (1st) TRANS                                            [DXXES] :: lighten, make light; deal lightly/leniently with; raise up, relieve;"
"128","#adlevo, adlevare, adlevavi, adlevatus  V (1st) TRANS                                                [XXXBO] :: lift/raise/heap/pile up, exalt; alleviate/diminish/weaken; comfort/console/cheer"
"129","#adlevo, adlevare, adlevavi, adlevatus  V (1st) TRANS                                                [XXXDO] :: |smooth, smooth off, make smooth; polish; depilate;"
"130","#adligo, adligare, adligavi, adligatus  V (1st) TRANS                                                [XXXAO] :: bind/fetter (to); bandage; hinder, impede, detain; accuse; implicate/involve in;"
"131","#adludio, adludiare, adludiavi, adludiatus  V (1st) INTRANS                                          [XXXEO] :: play/frolic (with);"
"132","#admaturo, admaturare, admaturavi, admaturatus  V (1st) TRANS                                        [XXXFO] :: hasten (an occurrence); bring to maturity, mature, ripen;"
"133","#admeo, admeare, admeavi, admeatus  V (1st) INTRANS                                                  [DXXFS] :: go to, approach;"
"134","#admigro, admigrare, admigravi, admigratus  V (1st) INTRANS                                          [XXXFO] :: go and live with; go to a place; come to; be added to;"
"135","#adminiculo, adminiculare, adminiculavi, adminiculatus  V (1st) TRANS                                [XAXCO] :: prop (up), support (with props); support with authority; applied to adverb;"
"136","#administro, administrare, administravi, administratus  V (1st)                                      [XXXBO] :: administer, manage, direct; assist; operate, conduct; maneuver (ship); bestow;"
"137","#admulco, admulcare, -, -  V (1st) TRANS                                                             [DXXFS] :: stroke;"
"138","#admurmuro, admurmurare, admurmuravi, admurmuratus  V (1st) INTRANS                                  [XXXDO] :: murmur in protest or approval; murmur at;"
"139","#admutilo, admutilare, admutilavi, admutilatus  V (1st) TRANS                                        [XXXEO] :: cut/clip close; shave; fleece, cheat, defraud;"
"140","#adnarro, adnarrare, adnarravi, adnarratus  V (1st) TRANS                                            [XXXFO] :: tell/relate (to);"
"141","#adnato, adnatare, adnatavi, adnatatus  V (1st) INTRANS                                              [XXXCO] :: swim to/up to; swim beside/alongside;"
